"site","trap","longitude","latitude","date_setup","date_collect","Onthophagus taurus","Euoniticellus fulvus","Euoniticellus pallipes","Onitis aygulus","Onthophagus binodis","Onitis alexis","Euoniticellus intermedius","Bubas bison","Onthophagus ferox","Onthophagus vermiculatus","Copris hispanus"
"Badgingarra","Trap 2",115.591987,-30.277745,2012-11-19,2012-11-20 13:17:13,38,0,1,14,0,43,30,1,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2012-11-19,2012-11-20 15:16:30,36,0,1,0,0,1,0,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2012-11-19,2012-11-20 15:15:56,50,0,3,1,0,10,5,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2012-11-19,2012-11-20 13:16:06,22,0,0,2,0,20,6,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2012-11-27,2012-11-28 10:49:28,5,0,1,1,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2012-11-27,2012-11-28 10:51:14,13,1,1,0,0,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2012-11-27,2012-11-28 11:23:27,12,0,1,2,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2012-11-26,2012-11-27 16:13:44,14,0,0,0,0,0,0,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2012-11-26,2012-11-27 16:14:33,15,3,0,0,0,0,0,0,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2012-11-27,2012-11-28 12:33:16,25,1,2,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-11-27,2012-11-28 14:03:57,99,0,5,10,0,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2012-11-27,2012-11-28 10:50:42,5,0,0,0,0,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2012-11-27,2012-11-28 14:03:13,133,0,15,13,0,2,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2012-11-27,2012-11-28 12:32:30,41,1,3,0,0,0,0,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2012-12-04,2012-12-05 13:27:43,0,0,0,0,0,11,16,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2012-12-04,2012-12-05 13:28:16,0,0,2,1,0,15,10,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2012-12-04,2012-12-05 15:15:36,303,0,21,0,0,3,3,0,0,0,0
